ID,sex,age_at_first_capture_y
1,female,4.5
2,female,6.0
3,female,9.0
4,female,12.0
5,female,3.0
6,female,2.0
7,female,1.0
8,female,3.0
9,female,15.0
10,female,15.0
11,female,6.0
12,male,1.0
13,female,4.5
14,female,6.0
15,female,4.5
16,female,6.0
17,female,6.0
18,female,2.0
19,male,3.5
20,male,7.0
21,male,4.0
22,male,1.5
23,male,1.5
24,female,2.584931506849315
25,female,9.0
26,female,7.0
27,female,9.0
28,female,7.0
29,male,19.0
30,female,11.0
31,female,15.0
32,female,15.0
33,female,15.0
34,female,15.0
35,female,2.552054794520548
36,female,15.0
37,female,15.0
38,female,10.6
39,female,5.8
40,female,13.0
41,male,3.5
42,female,1.5
43,female,3.0
44,male,4.0
45,male,5.0
47,female,7.9
48,female,4.0
49,male,5.5
50,female,15.7
51,male,9.0
52,male,10.5
53,female,6.7
54,male,10.7
55,male,2.5
56,female,1.0
57,female,7.1
58,male,2.5
59,female,6.9
60,female,1.5
61,female,10.2
62,female,11.6
63,male,6.0
64,female,5.5
101,male,1.0
102,male,0.2465753424657534
104,female,0.005479452054794521
105,male,0.4931506849315068
106,female,0.4931506849315068
107,female,1.0
108,male,0.6575342465753424
109,female,0.6575342465753424
110,male,0.4931506849315068
111,female,0.82
112,female,0.6217808219178003
113,female,0.48904109589041095
114,female,0.28904109589041094
115,female,0.00821917808219178
116,female,0.28904109589041094
117,male,0.38904109589041097
118,female,0.28904109589041094
119,male,0.28904109589041094
120,female,0.08
121,male,0.13
122,female,0.13
123,male,0.04
124,male,0.33607305936072396
125,female,0.16940639269407057
126,male,0.33607305936072396
127,female,0.5027397260273972
128,male,0.586073059360724
129,male,0.4194063926940706
130,female,0.25273972602739725
131,female,0.33607305936072396
132,male,0.4194063926940706
133,female,0.586073059360724
134,female,0.25273972602739725
135,female,0.4194063926940706
136,male,0.25273972602739725
137,male,0.25273972602739725
138,female,0.2547945205479452
139,female,0.25479452
140,male,0.25
141,male,0.25
142,male,0.25
143,female,0.25
144,female,0.12
