ID,capture,SAT,titer
1,1,1,2.17023562930579
1,1,2,>2.2
1,1,3,1.82419619302129
1,3,1,>2.2
1,3,2,>2.2
1,3,3,1.77160967272653
1,4,1,2
1,4,2,2
1,4,3,1.6
1,5,1,2.1
1,5,2,1.8
1,5,3,1.59129579939123
1,6,1,1.9
1,6,2,1.8
1,6,3,1.5
1,7,1,>2.2
1,7,2,1.45154499349597
1,7,3,1.96066089957849
1,8,1,2.03547958719769
1,8,2,1.96157677786283
1,8,3,2.0432160078426
1,9,1,1.8
1,9,2,2
1,9,3,>2.2
1,10,1,2.12942711663641
1,10,2,1.97579432358607
1,10,3,1.58875781839608
1,11,1,>2.2
1,11,2,1.69533583617656
1,11,3,1.70407253263425
1,12,1,>2.2
1,12,2,1.86634108322546
1,12,3,1.74015418729899
1,13,1,2.2
1,13,2,1.5
1,13,3,1.4
1,14,1,2.4
1,14,2,2
1,14,3,1.5
1,15,1,2.3
1,15,2,1.6
1,15,3,1.4
1,16,1,2.3
1,16,2,1.6
1,16,3,1.9
1,17,1,2
1,17,2,1.9
1,17,3,<1.3
2,1,1,<1.3
2,1,2,>2.2
2,1,3,<1.3
2,3,1,<1.3
2,3,2,<1.3
2,3,3,<1.3
3,3,1,>2.2
3,3,2,>2.2
3,3,3,>2.2
3,4,1,2
3,4,2,>2.2
3,4,3,1.5
3,5,1,1.89860369793585
3,5,2,>2.2
3,5,3,<1.3
3,6,1,2.1
3,6,2,2.2
3,6,3,<1.3
3,7,1,>2.2
3,7,2,1.73918954942844
3,7,3,1.92256671363814
3,8,1,>2.2
3,8,2,>2.2
3,8,3,2.05460633200286
3,9,1,>2.2
3,9,2,>2.2
3,9,3,>2.2
3,10,1,>2.2
3,10,2,>2.2
3,10,3,1.96741419308721
3,11,1,>2.2
3,11,2,>2.2
3,11,3,1.88778095204135
3,12,1,>2.2
3,12,2,>2.2
3,12,3,>2.2
3,13,1,2.3
3,13,2,2.4
3,13,3,1.7
3,14,1,2.4
3,14,2,2.3
3,14,3,1.6
3,15,1,2.4
3,15,2,2.3
3,15,3,1.7
3,16,1,2.4
3,16,2,2.1
3,16,3,2
3,17,1,2
3,17,2,2.3
3,17,3,1.7
4,3,1,2.14852734288336
4,3,2,>2.2
4,3,3,>2.2
4,4,1,1.6
4,4,2,2.1
4,4,3,1.8
4,5,1,1.59457095241144
4,5,2,>2.2
4,5,3,>2.2
4,6,1,1.9
4,6,2,2.2
4,6,3,2
4,7,1,>2.2
4,7,2,1.59166491579179
4,7,3,>2.2
4,8,1,>2.2
4,8,2,>2.2
4,8,3,>2.2
4,9,1,1.9
4,9,2,>2.2
4,9,3,>2.2
4,10,1,>2.2
4,10,2,>2.2
4,10,3,2.03729615636635
4,11,1,>2.2
4,11,2,>2.2
4,11,3,2.02999759447956
4,12,1,2.18281375940278
4,12,2,>2.2
4,12,3,1.92200030892633
4,13,1,2.3
4,13,2,2.3
4,13,3,1.8
4,14,1,2.4
4,14,2,2.1
4,14,3,1.5
4,15,1,2.4
4,15,2,2.2
4,15,3,1.7
4,16,1,2.3
4,16,2,1.8
4,16,3,2
4,17,1,2
4,17,2,2.4
4,17,3,2.1
5,1,1,1.34860814049431
5,1,2,>2.2
5,1,3,<1.3
5,3,1,1.80061698681416
5,3,2,>2.2
5,3,3,1.82994745291668
5,4,1,>2.2
5,4,2,2.1
5,4,3,<1.3
5,5,1,>2.2
5,5,2,>2.2
5,5,3,1.76100382903854
5,6,1,>2.2
5,6,2,>2.2
5,6,3,1.7
5,7,1,>2.2
5,7,2,>2.2
5,7,3,>2.2
5,8,1,>2.2
5,8,2,>2.2
5,8,3,>2.2
5,9,1,>2.2
5,9,2,>2.2
5,9,3,>2.2
5,10,1,>2.2
5,10,2,1.99865120532469
5,10,3,>2.2
5,12,1,>2.2
5,12,2,>2.2
5,12,3,2.02373923652904
5,13,1,2.2
5,13,2,1.7
5,13,3,1.4
5,14,1,2.3
5,14,2,1.9
5,14,3,1.3
5,15,1,2.4
5,15,2,2.1
5,15,3,1.7
5,16,1,2.4
5,16,2,2
5,16,3,2.4
5,17,1,2
5,17,2,2.3
5,17,3,1.6
6,1,1,<1.3
6,1,2,1.63582095005932
6,1,3,<1.3
6,3,1,>2.2
6,3,2,1.61704015698897
6,3,3,1.85109710132398
6,4,1,2.1
6,4,2,<1.3
6,4,3,<1.3
6,5,1,>2.2
6,5,2,<1.3
6,5,3,1.61355894039348
7,1,1,<1.3
7,1,2,1.76130555747967
7,1,3,<1.3
7,3,1,>2.2
7,3,2,1.7713812577387
7,3,3,1.83241491189753
8,1,1,<1.3
8,1,2,>2.2
8,1,3,1.42786714008209
8,3,1,>2.2
8,3,2,>2.2
8,3,3,>2.2
8,4,1,2.1
8,4,2,>2.2
8,4,3,1.7
8,5,1,>2.2
8,5,2,>2.2
8,5,3,1.83299752905418
8,6,1,>2.2
8,6,2,>2.2
8,6,3,1.7
8,7,1,>2.2
8,7,2,>2.2
8,7,3,>2.2
8,8,1,>2.2
8,8,2,>2.2
8,8,3,2.01805715997214
8,9,1,>2.2
8,9,2,>2.2
8,9,3,>2.2
8,10,1,>2.2
8,10,2,>2.2
8,10,3,1.83065692205464
8,11,1,>2.2
8,11,2,>2.2
8,11,3,1.87290114236975
8,12,1,>2.2
8,12,2,>2.2
8,12,3,1.85180184447617
8,13,1,2.3
8,13,2,2.3
8,13,3,1.5
8,14,1,2.4
8,14,2,1.9
8,14,3,1.3
8,15,1,2.4
8,15,2,2.4
8,15,3,2
9,1,1,>2.2
9,1,2,>2.2
9,1,3,>2.2
9,3,1,<1.3
9,3,2,<1.3
9,3,3,<1.3
9,4,1,>2.2
9,4,2,>2.2
9,4,3,>2.2
9,5,1,>2.2
9,5,2,>2.2
9,5,3,>2.2
10,1,1,2.19757977447923
10,1,2,>2.2
10,1,3,1.89595093571138
10,3,1,>2.2
10,3,2,>2.2
10,3,3,1.83241491189753
11,1,1,<1.3
11,1,2,>2.2
11,1,3,1.43345939691853
11,3,1,>2.2
11,3,2,>2.2
11,3,3,1.80159541776549
11,4,1,>2.2
11,4,2,>2.2
11,4,3,>2.2
11,5,1,>2.2
11,5,2,>2.2
11,5,3,2.01679365267171
11,6,1,>2.2
11,6,2,>2.2
11,6,3,2.1
11,7,1,>2.2
11,7,2,>2.2
11,7,3,>2.2
11,8,1,>2.2
11,8,2,>2.2
11,8,3,2.02406524304568
11,9,1,>2.2
11,9,2,>2.2
11,9,3,>2.2
11,10,1,>2.2
11,10,2,>2.2
11,10,3,>2.2
11,11,1,>2.2
11,11,2,>2.2
11,11,3,>2.2
11,12,1,>2.2
11,12,2,>2.2
11,12,3,>2.2
11,13,1,2.3
11,13,2,2.4
11,13,3,1.8
11,14,1,2.4
11,14,2,2.4
11,14,3,1.6
11,15,1,2.4
11,15,2,2.4
11,15,3,1.7
11,16,1,2.4
11,16,2,2.1
11,16,3,2.2
11,17,1,2.3
11,17,2,2.4
11,17,3,2.1
12,1,1,<1.3
12,1,2,1.77574009710161
12,1,3,<1.3
12,3,1,1.89975849725559
12,3,2,1.46832988642773
12,3,3,1.32386905899156
12,4,1,<1.3
12,4,2,<1.3
12,4,3,<1.3
12,5,1,1.86380168798255
12,5,2,<1.3
12,5,3,<1.3
12,6,1,1.4
12,6,2,<1.3
12,6,3,<1.3
12,7,1,>2.2
12,7,2,1.93432043972562
12,7,3,1.6373955207607
12,8,1,1.7992134391924
12,8,2,<1.3
12,8,3,<1.3
12,9,1,1.8
12,9,2,<1.3
12,9,3,1.8
12,10,1,1.74461635404772
12,10,2,>2.2
12,10,3,1.37701638076803
12,12,1,>2.2
12,12,2,1.50098004444242
12,12,3,<1.3
12,13,1,2.2
12,13,2,1.6
12,13,3,<1.3
12,14,1,2.3
12,14,2,<1.3
12,14,3,<1.3
12,15,1,2.4
12,15,2,<1.3
12,15,3,<1.3
12,16,1,2.3
12,16,2,1.3
12,16,3,1.6
12,17,1,2
12,17,2,1.8
12,17,3,<1.3
13,1,1,<1.3
13,1,2,>2.2
13,1,3,1.52007988578943
13,3,1,<1.3
13,3,2,<1.3
13,3,3,<1.3
13,4,1,2.1
13,4,2,>2.2
13,4,3,1.5
13,5,1,1.66957292567077
13,5,2,1.6867426188431
13,5,3,<1.3
13,6,1,1.9
13,6,2,1.9
13,6,3,<1.3
13,7,1,>2.2
13,7,2,>2.2
13,7,3,1.77985433693872
13,8,1,2.08678188223338
13,8,2,>2.2
13,8,3,1.65056274530709
13,9,1,>2.2
13,9,2,>2.2
13,9,3,>2.2
13,10,1,1.75633920846979
13,10,2,1.93470056811983
13,10,3,1.49546038632589
13,11,1,>2.2
13,11,2,1.69009141116499
13,11,3,1.65785927759648
13,12,1,>2.2
13,12,2,1.85733801103323
13,12,3,1.48657444593531
13,13,1,2.2
13,13,2,2.1
13,13,3,1.4
13,15,1,2.2
13,15,2,1.6
13,15,3,<1.3
13,16,1,2.1
13,16,2,1.9
13,16,3,2.2
13,17,1,1.7
13,17,2,1.7
