ID,capture,year,month,day
1,1,2014,3,5
1,3,2014,6,6
1,4,2014,8,11
1,5,2014,10,24
1,6,2014,12,8
1,7,2015,2,25
1,8,2015,6,3
1,9,2015,8,3
1,10,2015,10,5
1,11,2015,11,30
1,12,2016,3,1
1,13,2016,5,31
1,14,2016,8,1
1,15,2016,10,3
1,16,2016,12,5
1,17,2017,2,
1,18,2017,5,29
1,19,2017,8,2
2,1,2014,3,5
2,3,2014,6,6
3,1,2014,3,5
3,3,2014,6,6
3,4,2014,8,12
3,5,2014,10,28
3,6,2014,12,8
3,7,2015,2,24
3,8,2015,6,3
3,9,2015,8,3
3,10,2015,10,5
3,11,2015,12,1
3,12,2016,3,2
3,13,2016,5,30
3,14,2016,8,2
3,15,2016,10,5
3,16,2016,12,5
3,17,2017,2,28
3,18,2017,5,29
3,19,2017,8,3
4,1,2014,3,19
4,3,2014,6,6
4,4,2014,8,12
4,5,2014,10,24
4,6,2014,12,5
4,7,2015,2,25
4,8,2015,6,2
4,9,2015,8,4
4,10,2015,10,6
4,11,2015,12,2
4,12,2016,2,29
4,13,2016,5,31
4,14,2016,8,1
4,15,2016,10,3
4,16,2016,12,5
4,17,2017,2,28
4,18,2017,5,30
4,19,2017,8,3
5,1,2014,3,5
5,3,2014,6,6
5,4,2014,8,12
5,5,2014,10,28
5,6,2014,12,8
5,7,2015,2,23
5,8,2015,6,3
5,9,2015,8,4
5,10,2015,10,6
5,11,2015,12,1
5,12,2016,2,29
5,13,2016,5,31
5,14,2016,8,2
5,15,2016,10,5
5,16,2016,12,6
5,17,,,
5,18,2017,5,29
5,19,2017,8,3
6,1,2014,3,5
6,3,2014,6,7
6,4,2014,8,11
6,5,2014,10,14
7,1,2014,3,5
7,3,2014,6,6
8,1,2014,3,5
8,3,2014,6,7
8,4,2014,8,11
8,5,2014,10,28
8,6,2014,12,8
8,7,2015,2,25
8,8,2015,6,3
8,9,2015,8,3
8,10,2015,10,5
8,11,2015,11,30
8,12,2016,3,2
8,13,2016,5,31
8,14,2016,8,1
8,15,2016,10,3
9,1,2014,3,6
9,3,2014,6,6
9,4,2014,8,12
9,5,2014,10,24
10,1,2014,3,6
10,3,2014,6,6
11,1,2014,3,5
11,3,2014,6,6
11,4,2014,8,13
11,5,2014,10,24
11,6,2014,12,4
11,7,2015,2,24
11,8,2015,6,2
11,9,2015,8,4
11,10,2015,10,5
11,11,2015,12,1
11,12,2016,3,1
11,13,2016,5,30
11,14,2016,8,1
11,15,2016,10,3
11,16,2016,12,5
11,17,2017,2,28
11,18,2017,5,30
11,19,2017,8,3
12,1,2014,3,5
12,3,2014,6,6
12,4,2014,8,12
12,5,2014,10,28
12,6,2014,12,8
12,7,2015,2,25
12,8,2015,6,2
12,9,2015,8,4
12,10,2015,10,6
12,11,2015,12,2
12,12,2016,2,29
12,13,2016,5,30
12,14,2016,8,1
12,15,2016,10,4
12,16,2016,12,5
12,17,2017,2,
12,18,2017,5,30
12,19,2017,8,3
13,1,2014,3,6
13,3,2014,6,6
13,4,2014,8,12
13,5,2014,10,28
13,6,2014,12,8
13,7,2015,2,25
13,8,2015,6,3
13,9,2015,8,4
13,10,2015,10,6
13,11,2015,11,30
13,12,2016,2,29
13,13,2016,5,31
13,14,2016,8,1
13,15,2016,10,3
13,16,2016,12,5
13,17,,,
13,18,2017,5,30
13,19,2017,8,3
14,1,2014,3,5
14,3,2014,6,6
14,4,2014,8,12
14,5,2014,10,24
14,6,2014,12,4
14,7,2015,2,24
14,8,2015,6,3
14,9,2015,8,4
14,10,2015,10,5
14,11,2015,12,1
14,12,2016,3,1
14,13,2016,5,31
14,14,2016,8,2
14,15,2016,10,5
14,16,2016,12,6
14,17,2017,2,28
14,18,2017,5,29
14,19,2017,8,3
15,1,2014,3,6
15,3,2014,6,6
15,4,2014,8,12
15,5,2014,10,28
15,6,2014,12,5
15,7,2015,2,25
15,8,2015,6,3
15,9,2015,8,5
15,10,,,
15,11,2015,12,1
15,12,2016,3,2
15,13,2016,5,31
15,14,2016,8,2
15,15,2016,10,4
15,16,2016,12,6
15,17,,,
15,18,2017,5,29
15,19,2017,8,3
16,1,2014,3,6
16,3,2014,6,6
16,4,2014,8,11
16,5,2014,10,14
16,6,2014,12,8
16,7,2015,2,25
16,8,2015,6,2
16,9,2015,8,3
16,10,2015,10,5
16,11,2015,12,1
16,12,2016,3,1
16,13,2016,5,31
16,14,2016,8,1
16,15,2016,10,4
16,16,2016,12,5
16,17,2017,2,28
16,18,2017,5,30
16,19,2017,8,3
17,1,2014,3,6
17,3,2014,6,6
17,4,2014,8,13
17,5,2014,10,24
17,6,2014,12,4
17,7,2015,2,23
17,8,2015,6,2
17,9,2015,8,4
17,10,2015,10,5
17,11,2015,11,30
17,12,2016,2,29
17,13,2016,5,31
17,14,2016,8,1
17,15,2016,10,4
17,16,2016,12,5
17,17,,,
17,18,2017,5,30
17,19,2017,8,3
18,1,2014,3,6
18,3,2014,6,6
18,4,2014,8,11
18,5,2014,10,28
19,1,2014,3,6
19,3,2014,6,6
19,4,2014,8,13
19,5,2014,10,14
19,6,2014,12,5
19,7,2015,2,24
19,8,2015,6,2
19,9,2015,8,3
19,10,2015,10,5
19,11,2015,12,2
19,12,2016,3,1
19,13,2016,5,31
19,14,2016,8,2
19,15,2016,10,4
19,16,2016,12,5
19,17,,,
19,18,2017,5,30
19,19,2017,8,3
20,1,2014,3,20
20,3,2014,6,7
20,4,2014,8,11
20,5,2014,10,24
20,6,2014,12,5
20,8,2015,6,2
20,9,2015,8,5
20,10,,,
20,11,2015,12,2
20,12,2016,3,1
20,13,2016,5,30
20,14,2016,8,1
20,15,2016,10,4
20,16,2016,12,6
20,17,,,
20,18,2017,5,30
20,19,2017,8,2
21,1,2014,3,5
21,3,2014,6,6
21,4,2014,8,12
21,5,2014,10,28
21,6,2014,12,5
21,7,2015,2,23
21,8,2015,6,3
21,9,2015,8,3
21,10,2015,10,5
21,11,2015,12,1
21,12,2016,2,29
21,13,2016,5,31
21,14,2016,8,2
21,15,2016,10,4
21,16,2016,12,6
21,17,,,
21,18,2017,5,29
21,19,2017,8,2
22,1,2014,3,5
22,3,2014,6,6
22,4,2014,8,12
22,5,2014,10,14
23,1,2014,3,5
23,3,2014,6,6
23,4,2014,8,12
23,5,2014,10,28
23,6,2014,12,5
23,7,2015,2,23
23,8,2015,6,3
23,9,2015,8,4
23,10,,,
23,11,2015,12,1
23,12,2016,3,1
23,13,2016,5,31
23,14,2016,8,1
23,15,2016,10,5
23,16,2016,12,5
23,17,,,
23,18,2017,5,30
23,19,2017,8,2
24,1,2014,4,1
24,3,2014,6,6
24,4,2014,8,11
24,5,2014,10,24
24,6,2014,12,5
25,1,2014,3,19
25,3,2014,6,6
25,4,2014,8,12
25,5,2014,10,14
26,1,2014,3,19
26,3,2014,6,6
26,4,2014,8,13
26,5,2014,10,14
26,6,2014,12,4
26,7,2015,2,23
26,8,2015,6,3
26,9,2015,8,3
26,10,2015,10,5
26,11,2015,12,1
26,12,2016,3,2
26,13,2016,5,31
26,14,2016,8,1
26,15,2016,10,4
26,16,2016,12,5
26,17,,,
26,18,2017,5,29
26,19,2017,8,3
27,3,2014,6,6
27,4,2014,8,12
27,5,2014,10,24
27,6,2014,12,5
27,7,2015,2,24
27,8,2015,6,2
27,9,2015,8,3
27,10,2015,10,6
27,11,2015,12,2
27,12,2016,3,1
27,13,2016,5,30
27,14,2016,8,1
27,15,2016,10,3
27,16,2016,12,6
27,17,,,
27,19,2017,8,2
28,1,2014,3,5
28,3,2014,6,6
28,4,2014,8,12
28,5,2014,10,28
28,6,2014,12,4
28,7,2015,2,23
28,8,2015,6,3
28,9,2015,8,3
28,10,2015,10,6
28,11,2015,12,1
28,12,2016,3,1
28,13,2016,5,31
28,14,2016,8,2
28,15,2016,10,5
28,16,2016,12,5
28,17,2017,2,28
28,18,2017,5,29
