,M,S,E,I,C,R,Total,Rep
0.0,98,23,0,2,0,877,1000,0
0.0005783675260761338,99,23,0,2,0,877,1001,0
0.0007112468561492687,100,23,0,2,0,877,1002,0
0.0025907778712683793,100,23,0,2,0,876,1001,0
0.005146766637765527,101,23,0,2,0,876,1002,0
0.006296899519674411,101,22,1,2,0,876,1002,0
0.0067172572720253865,102,22,1,2,0,876,1003,0
0.007077646555094533,102,22,0,3,0,876,1003,0
0.00838243950775834,103,22,0,3,0,876,1004,0
0.010412323710184109,104,22,0,3,0,876,1005,0
0.01050728526181377,104,22,0,3,0,875,1004,0
0.010582115486613475,104,22,0,3,0,874,1003,0
0.011654816060234257,104,22,0,2,0,875,1003,0
0.012251217285580046,104,21,1,2,0,875,1003,0
0.012279149186133598,103,21,1,2,0,875,1002,0
0.013030913274254947,103,21,0,3,0,875,1002,0
0.013164306179489757,103,21,0,2,0,876,1002,0
0.017093413735226163,104,21,0,2,0,876,1003,0
0.01723912187256263,104,20,1,2,0,876,1003,0
0.018061979455624527,105,20,1,2,0,876,1004,0
0.01806434651259249,106,20,1,2,0,876,1005,0
0.019585828752661648,107,20,1,2,0,876,1006,0
0.020000000000000018,106,21,1,2,0,876,1006,0
0.020573921918332124,106,21,0,3,0,876,1006,0
0.02107894710123368,107,21,0,3,0,876,1007,0
0.02188606322261442,107,20,1,3,0,876,1007,0
0.02252394923070078,107,20,0,4,0,876,1007,0
0.02322091192429884,107,19,1,4,0,876,1007,0
0.023474466178795395,108,19,1,4,0,876,1008,0
0.025582508104838197,108,19,1,4,0,875,1007,0
0.02572660509891249,108,19,1,3,0,876,1007,0
0.026387662989206362,108,19,1,3,0,875,1006,0
0.02986235651995456,108,18,2,3,0,875,1006,0
0.02990915180400003,109,18,2,3,0,875,1007,0
0.02999999999999997,108,19,2,3,0,875,1007,0
0.03182147511195055,108,19,2,3,0,874,1006,0
0.03206178109512067,108,18,3,3,0,874,1006,0
0.032478071866049306,108,18,2,4,0,874,1006,0
0.03333999139150845,108,18,2,4,0,873,1005,0
0.033750378857890256,109,18,2,4,0,873,1006,0
0.03462413900097367,109,18,1,5,0,873,1006,0
0.035319301633396805,109,18,1,5,0,872,1005,0
0.03550922897561505,109,18,1,4,0,873,1005,0
0.037300689495079344,109,18,0,5,0,873,1005,0
0.04031149375047911,109,18,0,4,0,874,1005,0
0.040568482255085955,109,18,0,3,0,875,1005,0
0.04187135749882698,110,18,0,3,0,875,1006,0
0.042760079528974884,109,18,0,3,0,875,1005,0
0.04488724855746662,110,18,0,3,0,875,1006,0
0.045602150333795305,110,18,0,2,0,876,1006,0
0.045806517894919296,110,18,0,1,0,877,1006,0
0.048635516430581074,111,18,0,1,0,877,1007,0
0.04958198344943732,111,18,0,1,0,876,1006,0
0.050530182583753046,112,18,0,1,0,876,1007,0
0.05057664689574033,113,18,0,1,0,876,1008,0
0.051669336110652754,114,18,0,1,0,876,1009,0
0.052120897861414876,115,18,0,1,0,876,1010,0
0.05249772715392092,115,18,0,0,0,877,1010,0
0.0,113,13,0,2,0,872,1000,1
0.00020810417835078607,114,13,0,2,0,872,1001,1
0.001049484469174189,114,13,0,2,0,871,1000,1
0.001780282879209911,115,13,0,2,0,871,1001,1
0.002857447209535735,115,13,0,2,0,870,1000,1
0.0033580727662326456,116,13,0,2,0,870,1001,1
0.006628669669664427,117,13,0,2,0,870,1002,1
0.00841743968748628,118,13,0,2,0,870,1003,1
0.008701137634661498,119,13,0,2,0,870,1004,1
0.010116414214477343,118,13,0,2,0,870,1003,1
0.010337903909910073,118,13,0,2,0,869,1002,1
0.013245757986104572,118,13,0,1,0,870,1002,1
0.016984370353341948,119,13,0,1,0,870,1003,1
0.018093807502674104,119,12,1,1,0,870,1003,1
0.02020465055248513,119,12,0,2,0,870,1003,1
0.022173156421924745,119,12,0,2,0,869,1002,1
0.023274114660950907,119,12,0,1,0,870,1002,1
0.02388290426827797,120,12,0,1,0,870,1003,1
0.02503041717641786,120,12,0,0,0,871,1003,1
0.0,128,26,0,3,0,843,1000,2
0.0009880202358404436,129,26,0,3,0,843,1001,2
0.0013463619478070342,130,26,0,3,0,843,1002,2
0.001524708193464619,130,26,0,3,0,842,1001,2
0.0025944391453869287,130,26,0,3,0,841,1000,2
0.0026528797671514504,130,26,0,3,0,840,999,2
0.005002066944195728,129,26,0,3,0,840,998,2
0.007067748823344197,129,25,1,3,0,840,998,2
0.007124460841943803,129,25,1,2,0,841,998,2
0.0075939843838522605,130,25,1,2,0,841,999,2
0.010216732670788032,130,25,0,3,0,841,999,2
0.010623646115482253,129,25,0,3,0,841,998,2
0.011042915158136653,129,24,1,3,0,841,998,2
0.0114155153554026,129,24,1,2,0,842,998,2
0.011980272466560913,130,24,1,2,0,842,999,2
0.013108864462912262,130,24,1,2,0,841,998,2
0.01321656365160067,130,24,0,3,0,841,998,2
0.014487869913124198,130,24,0,2,0,842,998,2
