,M,S,I,R,Total,Rep
0.0,60,247,3,690,1000,0
0.004213507901202921,60,246,4,690,1000,0
0.005118569321786642,60,246,3,691,1000,0
0.007165214123004014,60,245,4,691,1000,0
0.007742977048814976,60,244,5,691,1000,0
0.00830552008554651,61,244,5,691,1001,0
0.009405181868091847,61,244,4,692,1001,0
0.01073804433316986,61,243,5,692,1001,0
0.011121751552490282,62,243,5,692,1002,0
0.011447106947254353,63,243,5,692,1003,0
0.011967767995974862,63,243,4,693,1003,0
0.012481485345290068,64,243,4,693,1004,0
0.012834821180380374,64,243,4,692,1003,0
0.013553117486279439,65,243,4,692,1004,0
0.01727730600111269,66,243,4,692,1005,0
0.017775450565679564,67,243,4,692,1006,0
0.01823374413112884,67,242,5,692,1006,0
0.018625178102225394,67,242,4,693,1006,0
0.020807852857867737,67,241,5,693,1006,0
0.02329000075519997,68,241,5,693,1007,0
0.023808551584413966,68,241,4,694,1007,0
0.02444773902640162,68,241,3,695,1007,0
0.02840989015701556,68,241,3,694,1006,0
0.02860075097097623,68,240,4,694,1006,0
0.02962819042344986,69,240,4,694,1007,0
0.029661021232816116,70,240,4,694,1008,0
0.030486982288360664,70,240,4,693,1007,0
0.030672167639981124,70,240,3,694,1007,0
0.03112525649184075,70,239,4,694,1007,0
0.03158348332308336,70,239,3,695,1007,0
0.0341156665008843,70,239,2,696,1007,0
0.04425191877231072,70,239,2,695,1006,0
0.04426498834301361,71,239,2,695,1007,0
0.045057272240311516,71,238,3,695,1007,0
0.0472139515923626,72,238,3,695,1008,0
0.048524265282937344,72,238,2,696,1008,0
0.05017067206483388,72,238,1,697,1008,0
0.05143949564182712,73,238,1,697,1009,0
0.05788726386700079,73,237,2,697,1009,0
0.05936782202548846,74,237,2,697,1010,0
0.06163193818154727,74,236,3,697,1010,0
0.062021315875210675,75,236,3,697,1011,0
0.06497261049544131,76,236,3,697,1012,0
0.06675950511672929,76,236,2,698,1012,0
0.06715994132753123,76,235,3,698,1012,0
0.0685403738672833,77,235,3,698,1013,0
0.06909943908910857,77,235,2,699,1013,0
0.06911068137249293,76,235,2,699,1012,0
0.07,75,236,2,699,1012,0
0.07143556285667549,75,236,1,700,1012,0
0.07272431287275127,75,236,1,699,1011,0
0.07329687573636688,75,237,1,699,1012,0
0.07772469924639465,75,237,0,700,1012,0
0.07970027985677297,74,237,0,700,1011,0
0.0,63,258,1,678,1000,1
0.0004480314093791016,63,258,1,677,999,1
0.0011423182021222265,63,258,0,678,999,1
0.0041259110504165974,63,258,0,677,998,1
0.0,54,226,1,719,1000,2
0.0008418882220055934,54,226,1,718,999,2
0.0017161011306666123,55,226,1,718,1000,2
0.0021695362638144565,56,226,1,718,1001,2
0.003885597651601484,57,226,1,718,1002,2
0.008001820457310637,57,227,1,718,1003,2
0.010000000000000009,56,228,1,718,1003,2
0.01594547260209275,57,228,1,718,1004,2
0.017363543606344546,58,228,1,718,1005,2
0.02015138945150235,59,228,1,718,1006,2
0.021474620101491534,60,228,1,718,1007,2
0.026065601874850942,60,229,1,718,1008,2
0.028682617537754918,60,228,1,718,1007,2
0.04028546410643122,59,228,1,718,1006,2
0.04039346912919045,59,228,0,719,1006,2
0.04268077816830584,60,228,0,719,1007,2
0.0,65,245,2,688,1000,3
0.000626333202164703,66,245,2,688,1001,3
0.002325341964988479,67,245,2,688,1002,3
0.003150336563392031,67,245,2,687,1001,3
0.004450321189311321,67,244,3,687,1001,3
0.005592192016210275,68,244,3,687,1002,3
0.0065307310225893546,68,244,2,688,1002,3
0.006814015799125679,69,244,2,688,1003,3
0.00721535437237041,69,243,3,688,1003,3
0.007619919104848451,69,242,4,688,1003,3
0.00914041655499235,69,241,5,688,1003,3
0.009675684189740977,69,240,6,688,1003,3
0.010369398312642613,69,239,7,688,1003,3
0.011003884396932869,69,239,6,689,1003,3
0.014808436835103802,69,239,5,690,1003,3
0.015124079787734439,69,239,4,691,1003,3
0.015297836176392979,69,238,5,691,1003,3
0.015820445346153376,69,238,4,692,1003,3
0.016728879126512552,69,238,4,691,1002,3
0.017112341850434403,69,238,3,692,1002,3
0.017347680291274554,69,238,2,693,1002,3
0.017983094370817722,69,237,3,693,1002,3
0.01953823158497414,69,237,3,692,1001,3
0.02078322656973756,69,236,4,692,1001,3
0.020801240010543433,70,236,4,692,1002,3
0.02248542534436495,70,236,3,693,1002,3
0.027010449570918638,69,236,3,693,1001,3
0.02866495045762,69,236,2,694,1001,3
0.028859217853826148,70,236,2,694,1002,3
0.02917405620953673,71,236,2,694,1003,3
0.02999999999999997,70,237,2,694,1003,3
0.030017461622803308,71,237,2,694,1004,3
0.032595360807914864,72,237,2,694,1005,3
0.033434171001173206,72,237,1,695,1005,3
0.03544551054457848,72,237,0,696,1005,3
0.03564036081003733,73,237,0,696,1006,3
0.0,71,274,3,652,1000,4
0.0038173907596546967,71,274,2,653,1000,4
0.00467785709045776,71,273,2,653,999,4
0.006118428486607244,72,273,2,653,1000,4
0.0064766802848891135,73,273,2,653,1001,4
0.007508904313110021,73,272,2,653,1000,4
0.007555405056627544,73,272,1,654,1000,4
0.009099788752445598,74,272,1,654,1001,4
0.010941953419193202,74,272,0,655,1001,4
0.011985001468233851,75,272,0,655,1002,4
0.0,64,237,3,696,1000,5
0.0010333876432892482,65,237,3,696,1001,5
0.0011935586748350602,65,237,3,695,1000,5
0.0019189417001738605,65,237,2,696,1000,5
0.00376224148538749,65,236,3,696,1000,5
0.004081992502426019,66,236,3,696,1001,5
0.006184522382015399,67,236,3,696,1002,5
